,SensorData.Acceleration.X,SensorData.Acceleration.Y,SensorData.Acceleration.Z,SensorData.Time,SensorData.Rotation.X,SensorData.Rotation.Y,SensorData.Rotation.Z,SensorData.Temperature
0,2.29,-7.38,6.27,2023-12-10 21:50:59,,,,
1,1.09,3.96,8.56,2023-12-10 21:51:02,0.13,0.11,-0.07,31.36
2,2.82,-7.54,5.60,2023-12-10 21:51:04,-0.03,-0.11,0.02,31.36
3,2.06,7.77,5.03,2023-12-10 21:51:07,0.51,-0.05,0.04,31.35
4,2.62,-7.01,6.08,2023-12-10 21:51:09,0.16,0.04,-0.06,31.36
5,2.25,5.06,7.69,2023-12-10 21:51:12,0.12,0.01,-0.06,31.30
6,3.14,-5.20,7.52,2023-12-10 21:51:14,-0.00,0.01,0.00,31.30
7,3.14,4.97,7.34,2023-12-10 21:51:17,-0.02,-0.01,-0.03,31.27
8,5.19,-8.57,-1.00,2023-12-10 21:51:19,-0.20,0.00,0.17,31.24
9,-5.37,5.47,5.09,2023-12-10 21:51:22,-0.04,0.05,-0.05,31.24
10,9.99,-2.38,0.64,2023-12-10 21:51:24,0.07,-0.03,-0.03,31.22
11,3.55,4.40,7.74,2023-12-10 21:51:27,-0.05,0.02,-0.06,31.19
12,2.99,-7.26,5.69,2023-12-10 21:51:29,0.40,0.13,-0.16,31.18
13,2.37,6.20,6.79,2023-12-10 21:51:32,-0.07,0.00,-0.06,31.15
14,2.46,-5.36,7.59,2023-12-10 21:51:34,0.01,-0.01,-0.02,31.18
15,2.70,6.50,6.47,2023-12-10 21:51:37,-0.02,0.00,-0.01,31.16
16,3.35,-6.61,6.26,2023-12-10 21:51:39,0.00,-0.02,-0.04,31.14
17,2.46,7.28,5.61,2023-12-10 21:51:41,-0.04,0.03,-0.01,31.15
18,2.66,-7.16,5.80,2023-12-10 21:51:44,0.02,-0.01,-0.03,31.14
19,2.94,7.01,5.72,2023-12-10 21:51:47,-0.05,0.03,-0.02,31.13
20,2.69,-6.99,6.17,2023-12-10 21:51:49,-0.02,-0.00,-0.00,31.14
21,3.05,7.59,4.83,2023-12-10 21:51:52,-0.31,0.03,-0.01,31.12
22,2.89,-7.53,5.43,2023-12-10 21:51:54,0.00,0.02,-0.01,31.14
23,2.39,7.03,6.11,2023-12-10 21:51:57,0.09,0.00,-0.04,31.13
24,3.90,-8.05,3.74,2023-12-10 21:51:59,-0.14,0.02,0.08,31.09
25,1.88,8.26,4.14,2023-12-10 21:52:02,0.41,0.11,-0.06,31.08
26,1.38,-9.09,2.52,2023-12-10 21:52:05,0.17,0.00,0.02,31.09
27,1.06,9.22,2.05,2023-12-10 21:52:07,-0.04,-0.06,-0.13,31.07
28,1.62,-9.16,3.08,2023-12-10 21:52:09,0.00,-0.02,-0.02,31.07
29,1.88,4.82,7.82,2023-12-10 21:52:12,0.07,-0.01,-0.09,31.07
30,2.03,-6.73,6.46,2023-12-10 21:52:14,-0.01,0.01,-0.01,31.04
31,1.70,-1.71,5.82,2023-12-10 21:52:17,-0.01,0.01,-0.04,31.04
32,2.77,-4.82,8.04,2023-12-10 21:52:19,-3.60,0.29,-1.17,31.05
33,2.26,4.53,7.97,2023-12-10 21:52:22,0.06,-0.14,0.26,31.04
34,2.13,-6.07,7.02,2023-12-10 21:52:25,0.07,0.04,-0.06,31.03
35,2.17,3.92,8.28,2023-12-10 21:52:27,0.02,0.03,-0.05,31.02
36,1.99,-6.60,6.51,2023-12-10 21:52:30,-0.06,0.02,0.01,31.04
37,2.43,4.69,7.77,2023-12-10 21:52:32,-0.21,0.06,-0.01,31.02
38,1.89,-8.30,4.69,2023-12-10 21:52:35,-0.20,-0.02,0.08,31.03
39,2.33,5.72,7.24,2023-12-10 21:52:37,0.01,0.01,-0.01,31.02
40,2.94,-2.28,10.29,2023-12-10 21:52:40,-0.09,-0.01,-0.01,31.02
41,2.43,5.25,7.34,2023-12-10 21:52:43,3.48,-0.23,-0.12,30.99
42,1.83,-8.22,4.93,2023-12-10 21:52:45,0.04,0.02,0.04,30.96
43,2.27,6.48,6.52,2023-12-10 21:52:48,0.06,0.02,-0.02,30.96
44,1.63,-9.18,2.97,2023-12-10 21:52:50,0.01,0.01,-0.06,30.97
45,1.73,1.68,8.27,2023-12-10 21:52:53,0.04,0.01,-0.04,30.97
46,1.03,-9.94,-0.68,2023-12-10 21:52:56,-4.22,-0.34,-0.03,30.94
47,0.89,9.62,0.56,2023-12-10 21:52:58,0.01,0.01,-0.03,30.96
48,1.03,-7.73,5.63,2023-12-10 21:53:01,-0.17,-0.03,0.02,30.93
49,1.81,8.18,5.16,2023-12-10 21:53:03,-0.11,-0.04,0.02,30.92
50,0.81,9.33,1.98,2023-12-10 21:53:06,-0.40,0.01,0.01,30.92
51,1.19,7.24,5.93,2023-12-10 21:53:08,0.06,0.10,0.12,30.89
52,1.81,6.91,7.75,2023-12-10 21:53:10,1.83,0.14,-0.53,30.89
53,-0.34,-6.67,-6.47,2023-12-10 21:53:13,1.66,0.60,-0.32,30.87
54,1.78,-7.20,6.19,2023-12-10 21:53:16,-1.66,-2.66,2.16,30.86
55,1.39,-7.17,5.77,2023-12-10 21:53:18,-0.23,0.04,0.04,30.83
56,1.09,6.57,6.43,2023-12-10 21:53:21,-1.07,-0.22,0.14,30.83
57,0.87,6.46,7.07,2023-12-10 21:53:24,-0.23,0.05,0.03,30.84
58,2.04,2.44,9.28,2023-12-10 21:53:26,0.05,-0.03,-0.10,30.83
59,1.10,-8.83,3.44,2023-12-10 21:53:29,2.59,0.07,0.09,30.82
60,0.67,7.24,6.13,2023-12-10 21:53:31,0.43,-0.04,0.02,30.83
61,1.87,-3.64,7.67,2023-12-10 21:53:34,-0.16,0.01,0.02,30.83
62,1.36,6.89,6.41,2023-12-10 21:53:36,2.26,0.06,0.22,30.82
63,1.34,-3.87,8.07,2023-12-10 21:53:39,-0.16,-0.00,-0.02,30.82
64,1.40,-3.16,8.23,2023-12-10 21:53:42,0.37,-0.03,0.01,30.83
65,2.31,-8.34,4.43,2023-12-10 21:53:44,-2.82,0.31,0.14,30.84
66,1.62,7.14,5.82,2023-12-10 21:53:47,0.11,0.06,0.07,30.82
67,1.88,-6.38,6.83,2023-12-10 21:53:49,0.04,0.07,-0.12,30.83
68,1.27,5.89,7.26,2023-12-10 21:53:52,-1.43,-0.17,-0.40,30.84
69,0.28,-5.50,8.08,2023-12-10 21:53:54,0.02,-0.02,0.04,30.85
70,1.50,5.71,7.40,2023-12-10 21:53:57,0.54,0.14,-0.27,30.84
71,0.80,6.56,6.10,2023-12-10 21:53:59,-0.15,0.21,-0.18,30.84
72,2.75,-7.28,6.03,2023-12-10 21:54:02,0.17,0.36,0.30,30.81
73,1.42,-0.11,8.79,2023-12-10 21:54:05,-0.07,0.06,0.07,30.81
74,1.92,-8.19,4.76,2023-12-10 21:54:07,-0.90,-0.03,-0.12,30.82
75,1.36,6.49,6.53,2023-12-10 21:54:10,0.11,-0.00,-0.01,30.83
76,2.34,-8.17,4.12,2023-12-10 21:54:13,-0.48,-0.00,0.23,30.81
77,1.91,7.49,5.49,2023-12-10 21:54:15,1.43,0.15,-0.30,30.78
78,2.08,-8.77,3.78,2023-12-10 21:54:18,-0.01,0.01,-0.01,30.82
79,0.94,4.86,8.97,2023-12-10 21:54:20,0.06,0.01,0.00,30.83
80,2.85,-1.48,7.89,2023-12-10 21:54:22,-2.29,0.11,0.11,30.83
81,1.60,3.12,9.38,2023-12-10 21:54:25,3.90,-0.32,-0.42,30.80
82,2.54,-7.70,5.47,2023-12-10 21:54:28,-1.01,0.11,0.09,30.83
83,0.86,8.29,4.46,2023-12-10 21:54:30,0.23,0.11,-0.07,30.83
84,1.21,-8.28,4.78,2023-12-10 21:54:33,-0.15,0.11,0.00,30.84
85,0.68,1.03,7.79,2023-12-10 21:54:37,-0.07,0.00,-0.01,30.83
86,2.99,1.98,8.35,2023-12-10 21:54:41,-3.65,-0.12,0.20,30.84
87,1.36,9.23,2.22,2023-12-10 21:54:43,3.19,0.20,-0.28,30.87
88,1.36,-9.60,1.70,2023-12-10 21:54:46,-0.05,0.04,0.01,30.82
89,1.27,9.06,2.63,2023-12-10 21:54:48,-0.00,0.03,-0.04,30.83
90,0.82,-9.28,2.96,2023-12-10 21:54:51,-0.25,0.02,0.05,30.83
91,1.56,8.93,3.29,2023-12-10 21:54:53,-0.00,0.01,-0.04,30.81
92,1.01,-8.65,4.18,2023-12-10 21:54:56,0.10,0.00,-0.06,30.79
93,1.08,7.70,5.52,2023-12-10 21:54:59,-0.16,0.61,-0.21,30.80
94,1.28,-8.97,3.65,2023-12-10 21:55:01,-1.79,-1.93,-0.22,30.81
95,0.28,8.91,2.96,2023-12-10 21:55:03,-0.10,-0.05,-0.16,30.80
96,1.39,-8.92,3.43,2023-12-10 21:55:06,-0.30,-0.02,0.00,30.83
97,0.07,7.50,4.38,2023-12-10 21:55:09,-0.06,-0.14,0.33,30.79
98,2.60,-9.24,2.39,2023-12-10 21:55:11,-2.28,-0.14,-0.04,30.82
99,1.29,7.63,5.39,2023-12-10 21:55:14,0.07,-0.06,-0.11,30.82
100,2.45,-8.47,4.28,2023-12-10 21:55:16,-0.01,0.02,-0.04,30.80
101,1.42,8.37,4.26,2023-12-10 21:55:19,0.07,0.02,-0.09,30.79
102,2.82,-4.24,-9.47,2023-12-10 21:55:25,-0.03,0.01,-0.02,30.80
103,-5.83,0.10,6.24,2023-12-10 21:55:27,-0.47,-0.49,0.14,30.76
104,1.95,-9.73,0.63,2023-12-10 21:55:30,0.76,-3.71,-0.23,30.76
105,0.19,4.16,9.19,2023-12-10 21:55:33,0.04,0.01,-0.05,30.76
106,6.59,-2.29,-6.92,2023-12-10 21:55:39,-2.79,0.01,0.10,30.76
107,0.99,7.59,5.55,2023-12-10 21:55:43,-0.64,-0.83,0.52,30.75
108,1.40,-8.14,4.98,2023-12-10 21:55:46,-0.09,0.27,-0.05,30.74
109,0.50,7.97,4.98,2023-12-10 21:55:53,-0.03,-0.01,0.00,30.75
110,1.83,8.02,4.81,2023-12-10 21:55:58,0.25,0.06,-0.13,30.74
111,1.25,-8.60,4.17,2023-12-10 21:56:01,-0.05,0.00,0.08,30.76
112,2.15,6.88,6.04,2023-12-10 21:56:03,0.15,0.08,-0.10,30.76
113,2.61,-6.81,6.54,2023-12-10 21:56:06,0.53,0.09,-0.23,30.77
114,1.50,7.61,5.46,2023-12-10 21:56:09,0.10,0.03,-0.01,30.79
115,2.01,-8.36,2.89,2023-12-10 21:56:11,-0.02,0.05,0.04,30.76
116,1.25,-9.01,3.41,2023-12-10 21:56:15,2.27,0.00,-0.20,30.73
117,1.89,7.25,5.78,2023-12-10 21:56:17,-0.22,-0.02,0.03,30.74
118,0.98,-8.81,3.86,2023-12-10 21:56:19,0.10,0.00,-0.03,30.75
119,2.41,6.05,6.95,2023-12-10 21:56:22,-0.05,-0.07,-0.01,30.74
120,1.55,-6.97,6.46,2023-12-10 21:56:24,0.01,0.02,-0.01,30.72
121,2.12,6.38,6.65,2023-12-10 21:56:27,0.03,0.01,-0.12,30.71
122,0.85,0.79,9.79,2023-12-10 21:56:29,0.08,-0.03,-0.01,30.72
123,1.42,-8.19,4.94,2023-12-10 21:56:32,-2.53,0.36,0.33,30.72
124,1.66,6.10,7.09,2023-12-10 21:56:34,0.06,-0.03,-0.06,30.71
125,1.73,-8.65,3.94,2023-12-10 21:56:36,-0.06,0.02,-0.10,30.70
126,1.97,7.22,5.82,2023-12-10 21:56:39,-0.15,0.07,-0.01,30.68
127,1.14,-8.43,4.75,2023-12-10 21:56:42,0.07,0.04,-0.05,30.69
128,0.19,9.80,-1.03,2023-12-10 21:56:44,0.14,0.11,-0.04,30.69
129,0.48,9.38,-2.18,2023-12-10 21:56:47,0.18,0.07,-0.08,30.69
130,0.63,-9.94,-0.43,2023-12-10 21:56:49,-0.11,0.03,-0.01,30.66
131,-0.49,-9.76,-0.88,2023-12-10 21:56:52,-0.02,-0.01,0.00,30.67
132,2.67,9.01,-7.25,2023-12-10 21:56:54,1.87,-0.19,-0.26,30.69
133,0.51,-9.75,0.81,2023-12-10 21:56:57,4.11,1.51,-1.84,30.67
134,1.47,9.30,1.68,2023-12-10 21:56:59,-0.31,-0.06,0.15,30.64
135,0.85,-9.69,-1.50,2023-12-10 21:57:02,0.20,-0.04,-0.10,30.64
136,0.84,9.65,-1.24,2023-12-10 21:57:04,0.05,0.04,-0.03,30.65
137,0.76,9.54,-2.38,2023-12-10 21:57:07,-0.10,0.01,-0.00,30.66
138,0.07,-9.85,-1.94,2023-12-10 21:57:09,-0.04,0.04,-0.04,30.65
139,1.75,5.83,7.21,2023-12-10 21:57:12,0.05,0.02,-0.03,30.67
140,1.75,-5.96,7.26,2023-12-10 21:57:14,-0.02,0.01,0.01,30.66
141,1.80,7.03,5.95,2023-12-10 21:57:17,0.07,0.01,-0.05,30.66
142,1.86,-7.14,6.23,2023-12-10 21:57:19,-0.10,0.01,0.01,30.67
143,1.39,5.31,7.50,2023-12-10 21:57:22,0.20,0.04,-0.05,30.66
144,2.01,-6.72,4.84,2023-12-10 21:57:24,-0.06,0.21,0.08,30.67
145,1.45,5.42,8.16,2023-12-10 21:57:27,-0.55,0.00,-0.10,30.68
146,1.96,-7.40,6.09,2023-12-10 21:57:29,1.21,0.29,0.03,30.67
147,1.26,6.56,6.72,2023-12-10 21:57:32,-0.07,-0.13,0.10,30.65
148,2.00,-6.04,7.26,2023-12-10 21:57:34,-0.08,0.05,0.09,30.64
149,0.23,9.34,1.75,2023-12-10 21:57:37,-0.08,-0.03,0.06,30.63
150,1.51,-9.51,1.22,2023-12-10 21:57:39,-0.16,0.05,0.01,30.62
151,-0.00,9.64,-0.05,2023-12-10 21:57:42,-1.00,-0.14,0.20,30.62
152,0.05,-9.80,-1.10,2023-12-10 21:57:44,0.15,0.01,-0.04,30.61
153,-0.26,9.55,-0.83,2023-12-10 21:57:47,0.01,0.01,-0.01,30.62
154,0.06,-8.41,0.79,2023-12-10 21:57:50,-0.07,0.06,-0.01,30.63
155,-0.28,9.59,0.19,2023-12-10 21:57:51,-2.96,0.64,0.21,30.62
156,0.40,-9.71,-2.84,2023-12-10 21:57:54,0.10,-0.48,-0.22,30.64
157,2.36,4.38,8.33,2023-12-10 21:57:57,-0.08,0.01,0.01,30.59
158,0.39,9.20,3.57,2023-12-10 21:57:59,0.10,-0.04,0.00,30.65
159,1.07,-8.66,4.34,2023-12-10 21:58:01,-0.84,-0.07,0.08,30.66
160,1.14,-7.81,5.22,2023-12-10 21:58:04,0.08,0.04,-0.06,30.65
161,1.82,3.59,8.42,2023-12-10 21:58:07,-0.49,0.01,-0.17,30.63
162,0.82,-7.18,6.36,2023-12-10 21:58:09,-0.10,0.00,-0.02,30.65
163,1.59,4.24,8.19,2023-12-10 21:58:12,0.43,-0.09,-0.05,30.64
164,2.09,-1.13,8.28,2023-12-10 21:58:14,-0.36,0.01,-0.05,30.66
165,1.34,2.34,9.78,2023-12-10 21:58:17,1.64,0.34,-0.40,30.64
166,1.33,-6.44,6.82,2023-12-10 21:58:19,-1.81,0.12,0.05,30.67
167,0.84,4.90,7.95,2023-12-10 21:58:22,0.06,0.00,-0.14,30.64
168,1.30,-8.05,5.11,2023-12-10 21:58:24,-0.08,-0.01,-0.05,30.64
169,0.69,6.31,6.83,2023-12-10 21:58:27,0.07,0.04,-0.09,30.64
170,0.06,-7.55,6.08,2023-12-10 21:58:30,-0.32,-0.03,-0.02,30.64
171,-0.08,7.34,5.40,2023-12-10 21:58:32,-0.19,-0.09,0.06,30.64
172,0.29,-8.91,3.84,2023-12-10 21:58:35,0.58,0.13,-0.14,30.66
173,0.46,6.45,6.91,2023-12-10 21:58:38,0.02,0.08,0.05,30.66
174,-0.69,-7.46,5.68,2023-12-10 21:58:40,-0.08,-0.04,-0.08,30.64
175,0.39,-8.02,4.81,2023-12-10 21:58:42,-1.33,0.01,-0.08,30.66
176,0.44,5.53,7.67,2023-12-10 21:58:45,0.88,0.22,-0.18,30.67
177,0.89,-3.97,8.49,2023-12-10 21:58:48,-0.16,-0.05,-0.04,30.67
178,-0.16,0.10,10.01,2023-12-10 21:58:50,-0.13,-0.35,0.16,30.66
179,2.30,-0.24,8.84,2023-12-10 21:58:53,-2.70,0.01,0.24,30.65
180,1.53,-3.40,7.74,2023-12-10 21:58:55,2.00,0.49,0.05,30.66
181,-0.67,5.15,7.96,2023-12-10 21:58:58,-3.03,0.57,0.70,30.66
182,-0.45,-7.51,5.89,2023-12-10 21:59:01,0.00,0.00,0.06,30.64
183,0.71,4.92,7.89,2023-12-10 21:59:03,-0.25,-0.02,0.01,30.65
184,0.19,-5.96,7.68,2023-12-10 21:59:06,-0.07,0.02,0.00,30.65
185,0.23,6.33,6.96,2023-12-10 21:59:09,0.08,-0.02,-0.04,30.66
186,-0.19,6.11,7.14,2023-12-10 21:59:11,-0.23,0.01,0.02,30.67
187,0.75,-5.57,7.99,2023-12-10 21:59:14,0.40,-0.01,0.11,30.67
188,1.13,5.64,7.31,2023-12-10 21:59:16,0.04,0.05,-0.01,30.65
189,0.91,-7.68,5.82,2023-12-10 21:59:19,0.27,-0.12,0.02,30.65
190,1.52,4.71,7.71,2023-12-10 21:59:21,-0.01,0.02,0.01,30.66
191,0.59,-5.84,7.45,2023-12-10 21:59:24,-0.03,-0.07,-0.13,30.65
192,-0.10,5.73,7.39,2023-12-10 21:59:26,-0.04,-0.03,0.01,30.60
193,0.73,-5.97,7.70,2023-12-10 21:59:29,-0.27,-0.00,0.08,30.61
194,0.27,4.82,8.34,2023-12-10 21:59:31,0.63,0.06,-0.15,30.57
195,0.57,1.43,9.26,2023-12-10 21:59:34,0.09,-0.06,-0.06,30.60
196,0.74,-5.91,6.67,2023-12-10 21:59:36,0.86,0.03,-0.06,30.58
197,0.71,-4.58,7.42,2023-12-10 21:59:39,-0.99,0.09,0.00,30.62
198,-0.04,2.53,9.60,2023-12-10 21:59:41,1.36,-0.03,0.01,30.59
199,0.75,-7.53,5.83,2023-12-10 21:59:44,-2.25,0.23,0.12,30.61
200,0.55,5.01,8.20,2023-12-10 21:59:46,0.09,0.01,-0.03,30.62
